Type,                        Txhash,                        BlockTime Unix,                        BlockTime,                        Fee (SOL),                        TokenAccount,                        ChangeType,                        SPL BalanceChange,                        PreBalancer,                        PostBalancer,                        TokenAddress,                        TokenName(off-chain),                        Symbol(off-chain),                        SolTransfer Source,                        SolTransfer Destination,                        Amount (SOL)
TokenChange,3pUHCKkJQTQKY7cwr8ZsWH2cbkw7wwa8GgfST72QbrYdPH4tgc5tXD3Dzb1ShRPMBv46Zq1Lvsq56ujZXmYDtnGw,1709375389,2024-03-02T10:29:49,0.000025,F3LFB1F1X61jMvWAwvJrhvKcxk5Rq7eDiXHWd9ntUanB,inc,107,,107,4UZ6kG1BRYNovDuqXSAaTSv175edyBBnqbdWgWUU1ub7,SOLGift6.com,,,,
TokenChange,5n8hUiyPsx6QdJEW6Chw5bJvtTMUvvkJx8QvtTy4ojV1Gdyk5ijyroHLcUHSWp3pJVZUEdvWqKPf3Ja2NGx8UnLe,1707400965,2024-02-08T14:02:45,0.000025,HKLVYt8T1rJTtWyVhTryYuSppvFC6F5BaZprwWz1noa9,inc,10000000,,10000000,2wZRqSHmr78dMFMZBkE4zpbzh2ibMGJ8oUDUB7WEJrWp,iDOG,,,,
SolTransfer,4p7WgAi2og6tmRKHZPGdNqVeuURawE4AgzYtndvAyD8o9RtsuUmRf11rnkx8o456FYs2dgZBuRiDPikCjG9UNhp5,1702112245,2023-12-09T08:57:25,0.000005,,,,,,,Solana,SOL,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7,76qN7NiXKLRm9G1bDeyBkbP3gfP6DVvfWZFxhW2F52jy,
SolTransfer,3UnCSz8DAdYHiuFnDiPnw7XwLKRed8XiPn5NM8EkSq92y9waWEEJJ5Ury4UEfBmCThQWR7LUzBkXJLUNgWRsYS4V,1702112220,2023-12-09T08:57:00,0.000005,,,,,,,Solana,SOL,76qN7NiXKLRm9G1bDeyBkbP3gfP6DVvfWZFxhW2F52jy,7bnLF2LPwn2NW4UpjTGGqdTe9jABWJG36QkksNrdfnEE,0.25
SolTransfer,VeTWDMN4BbhAnCmmcJZwz5GXLrQBGht2KPTGVSP5ZNs8fGRPbrJui3PuHFGGuovS38WXhSB7CEToy7cSufWp7N7,1701066163,2023-11-27T06:22:43,0.000005,,,,,,,Solana,SOL,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7,76qN7NiXKLRm9G1bDeyBkbP3gfP6DVvfWZFxhW2F52jy,
SolTransfer,3aGUrnSPF6KjBhLRx66p7vDUp4YbSURu8ZCRUdKZ2RmsVSUeptBurX13UsxmGeqF7nnCwkkunn2CC8qEoTXms9vP,1701066133,2023-11-27T06:22:13,0.000005,,,,,,,Solana,SOL,76qN7NiXKLRm9G1bDeyBkbP3gfP6DVvfWZFxhW2F52jy,9GDwWn5wQm5DynBoJQyueVM6DfAWrUukS34q9uZwN8UV,0.1
SolTransfer,2NPdHonTc6HTkGtagt7dEcsANjVCnQ1FxVc43DfPzVxmbQrsPUMs7FfSrkghpvgBwVjoYaeenT8cgShP7Rq1e9zp,1701065767,2023-11-27T06:16:07,0.000005,,,,,,,Solana,SOL,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7,76qN7NiXKLRm9G1bDeyBkbP3gfP6DVvfWZFxhW2F52jy,
SolTransfer,5zQsrsSB9fgVS97BtGrHgF5kPmKnUDgBY4iX8MTbRB8FXsG174UcS8vpogwKhxcXSvS1oc7BbH7m6u6iC3et7fLT,1701065753,2023-11-27T06:15:53,0.000005,,,,,,,Solana,SOL,76qN7NiXKLRm9G1bDeyBkbP3gfP6DVvfWZFxhW2F52jy,AK6WgfHwdcjdRBU6Nd1XnFecEjQEnsWKzDwcYt7ndgiH,0.1
SolTransfer,5FkHv28AdHHhiiwZLdYFSqp556BUVCnts3ZhAdpxPMLLWK5XeLwj4Lob1644HiU2FBs9HJuAfRsurkTyrg1CGAir,1701065740,2023-11-27T06:15:40,0.000005,,,,,,,Solana,SOL,76qN7NiXKLRm9G1bDeyBkbP3gfP6DVvfWZFxhW2F52jy,EL4dUZ6bRstUJMBfULmKWtvrdLWYUNk7BHMe7ZaV7mg6,0.1
SolTransfer,524Ub9ZjP59WbvgaCXkZz4oWN7QcbgWrzqtbV2Y9DRewcTnF7zhkP5737Uish9E7DSV7UEhoh6dzaaKTTKhKgYum,1701065739,2023-11-27T06:15:39,0.000005,,,,,,,Solana,SOL,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7,76qN7NiXKLRm9G1bDeyBkbP3gfP6DVvfWZFxhW2F52jy,
SolTransfer,5U7CdmawpbBaNLqt9Ry46vLziMKXU5druSTTiCATKgcoN8TnsKAtGScTqB6JsGyjUNL2xfzTVXWLuSqy1tdS7Jua,1701065724,2023-11-27T06:15:24,0.000005,,,,,,,Solana,SOL,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7,76qN7NiXKLRm9G1bDeyBkbP3gfP6DVvfWZFxhW2F52jy,
SolTransfer,4sd9DqhoabCKXzWghZpHaWGPra2ry8whyDDRpZGJeVDW8yLmtJ17NxvuG78rsEk6U8YSqhnggj2EGfTcgvgwuqam,1701065717,2023-11-27T06:15:17,0.000005,,,,,,,Solana,SOL,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7,76qN7NiXKLRm9G1bDeyBkbP3gfP6DVvfWZFxhW2F52jy,
SolTransfer,5vwNsdFC34HkATKaC7v8YoJa3MzSZEQDHj1BGmpWhdtAyn9GJVjQndbFnkBKq7yep9bqEmKvwaQgAjMHK7c38ouw,1701065716,2023-11-27T06:15:16,0.000005,,,,,,,Solana,SOL,76qN7NiXKLRm9G1bDeyBkbP3gfP6DVvfWZFxhW2F52jy,7bnLF2LPwn2NW4UpjTGGqdTe9jABWJG36QkksNrdfnEE,0.1
SolTransfer,36C15pKuYCsrLi9MU9SSfn1X4r5Mrb331AkBEpwRrrJr6a6L5WSp9yeiTA9yCe5T6dyDraeAygEKWuGthHkkCaYN,1701065699,2023-11-27T06:14:59,0.000005,,,,,,,Solana,SOL,76qN7NiXKLRm9G1bDeyBkbP3gfP6DVvfWZFxhW2F52jy,Eju3SZ722B7qe6a3buZCmuBdhSSFbfe6KiQKjAoLwVKT,0.1
SolTransfer,3HRbyc7xhZpGYH7CReT7rKbyryDVgYuyJ1M7BxoMw1HzuMP1xvE71vPiDZ5Fxysg1YDTydGmS5dZME1BWuPVQ3Po,1701065688,2023-11-27T06:14:48,0.000005,,,,,,,Solana,SOL,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7,76qN7NiXKLRm9G1bDeyBkbP3gfP6DVvfWZFxhW2F52jy,
